LAT,LON,NAME,NUMUNIQUESTUDENTS
39.3825,-85.5600,Adams,50
41.07177,-85.1820,Allen,394
39.2012,-85.86864,Bartholomew,175
41.5101,-85.7612,Benton,22
40.4753,-85.3251,BlackFord,10
40.0600,-86.4732,Boone,69
39.2555,-86.0798,Brown, 16
40.5986,-86.5959,Caroll,48
40.7826,-86.3653,Cass,107
38.4937,-85.7254,Clark,198
39.3960,-87.1377,Clay,13
39.6684,-87.4051,Clinton,86
38.1897,-86.1463,Crawford,18
38.7444,-87.0588,Daviess,18 
41.3972,-85.0126,De Kalb,129 
39.1681,-84.9649,Dearborn,161
40.8279,-84.9291,Decatur,32
40.2279,-85.4158,Delaware,161 
38.3841,-86.8995,Dubois,161 
41.6908,-85.97069,Elkhart,248 
69.6210,-85.2037,Fayette,77
38.3210,-85.9023,Floyd,135 
40.1259,-87.2252,Fountain,27 
39.4018,-85.073,Franklin,56 
41.1010,-86.3415,Fulton,43 
38.3257,-87.5640,Gibson,34 
40.5431,-85.6683,Grant,113
39.0296,-86.9918,Greene,37 
40.0788,-86.0687,Hamilton,154 
39.8246,-85.7651,Hancock,102 
39.1924,-86.1235,Harrison,38 
39.7920,-86.4815,Hendricks,301 
39.9434,-85.3890,Henry,55 
40.49778,-86.1464,Howard,112 
40.83646,-85.47963,Huntington,78 
38.9152,-86.0594,Jackson,118 
41.0911,-87.1662,Jasper,60 
40.4812,-85.0249,Jay,31 
38.8099,-85.4647,Jefferson,81 
38.9959,-85.6377,Jennings,16 
39.5091,-86.1232,Johnson,229 
38.6984,-87.3910,Knox,62 
41.2720,-85.8575,Koscuisko,194 
41.6567,-85.4392,La Grange,57 
41.4499,-87.3839,Lake,214 
41.59014,-86.72374,LaPorte,106 
38.8438,-86.4749,Lawrence,68 
40.1971,-85.7327,Madison,138 
40.1909,-85.7155,Marion,476 
41.3467,-86.2717,Marshall,91 
38.7208,-86.8075,Martin,15 
40.7847,-86.0755,Miami,89 
39.1591,-86.5347,Monroe,64 
38.6656,-87.0470,Montgomery,81 
39.4909,-86.4469,Morgan,62 
40.9502,-87.383,Newton,32 
41.40622,-85.4099,Noble,126 
38.9634,-84.9467,Ohio,2 
38.5507,-86.5094,Orange,47 
39.3139,-86.8622,Owen,25 
39.7841,-87.1999,Parke,53 
38.0763,-86.6061,Perry,29 
40.1268,-86.4814,Pike,23 
41.6237,-87.0830,Porter,157 
38.0365,-87.8410,Posey,63 
41.0648,-86.6887,Pulaski,56 
39.6754,-86.8625,Putnam,84 
40.1599,-85.025,Randolph,48 
41.1015,-86.6606,Ripley,69 
39.6291,-85.4477,Rush,38 
38.0763,-87.6473,St.Joseph,176 
41.7424,-85.5567,Scott,67 
39.5197,-85.7870,Shelby,22 
39.2871,-86.7729,Spencer,61 
41.2801,-86.6187,Starke,28 
41.6474,-84.9890,Steuben,44 
39.0976,-87.4093,Sullivan,38 
38.8286,-85.0629,Switzerland,11 
41.2091,-86.1151,Tippeconoe,214 
40.2853,-86.0425,Tipton,33 
38.4661,-87.4376,Union,20 
38.0303,-87.5971,Vanderburgh,193 
39.8701,-87.4669,Vermillion,27 
39.4386,-87.4267,Vigo,80 
40.8003,-85.8309,Wabash,88 
40.6897,-85.4220,Warren,5 
38.1368,-87.27844,Warrick,129 
38.6651,-87.1655,Washington,42 
39.8655,-85.0161,Wayne,71 
40.7159,-85.1681,Wells,52 
40.7598,-86.8827,White,74 
41.1389,-85.5013,Whitley,72 
